gender,age,bmi,activity_level,avg_sleep_hours,avg_water_intake_liters,height_cm,weight_kg,recommended_exercise
male,36,24.87,light,5.0,3.7,168.0,70.2,Cardio (Weight Loss focus)
male,50,31.69,moderate,6.5,3.4,158.2,79.3,Cardio (Weight Loss focus)
male,52,19.5,moderate,5.0,4.4,169.6,56.1,Cardio (Weight Loss focus)
male,22,34.36,moderate,8.3,2.5,173.3,103.2,Cardio (Weight Loss focus)
female,18,23.1,active,5.0,3.7,167.1,64.5,Cardio (Weight Loss focus)
male,37,31.65,light,8.2,2.5,180.3,102.9,Cardio (Weight Loss focus)
male,26,30.22,light,7.3,1.9,177.4,95.1,Cardio (Weight Loss focus)
male,46,21.04,moderate,4.7,3.4,178.3,66.9,Cardio (Weight Loss focus)
male,42,30.53,active,7.8,3.5,173.5,91.9,Cardio (Weight Loss focus)
female,25,33.42,light,7.3,2.1,166.9,93.1,Cardio (Weight Loss focus)
male,18,25.67,light,4.3,4.1,168.4,72.8,Cardio (Weight Loss focus)
male,57,29.34,light,4.6,2.1,168.6,83.4,Cardio (Weight Loss focus)
male,52,30.59,sedentary,6.1,3.0,174.0,92.6,Cardio (Weight Loss focus)
male,26,30.51,light,7.3,3.0,172.6,90.9,Cardio (Weight Loss focus)
male,36,24.87,light,5.0,3.7,168.0,70.2,Cardio (Weight Loss focus)
female,43,32.13,sedentary,5.8,1.0,166.9,89.5,Cardio (Weight Loss focus)
male,56,27.9,sedentary,4.0,3.0,189.5,100.2,Cardio (Weight Loss focus)
female,18,23.1,active,5.0,3.7,167.1,64.5,Cardio (Weight Loss focus)
female,24,33.51,light,6.8,2.4,163.7,89.8,Cardio (Weight Loss focus)
female,34,31.2,moderate,6.6,3.1,173.2,93.6,Cardio (Weight Loss focus)
female,18,17.6,moderate,5.3,2.4,164.1,47.4,Cardio (Weight Loss focus)
male,56,27.9,sedentary,4.0,3.0,189.5,100.2,Cardio (Weight Loss focus)
female,28,24.43,moderate,5.4,1.4,163.5,65.3,Cardio (Weight Loss focus)
male,56,27.9,sedentary,4.0,3.0,189.5,100.2,Cardio (Weight Loss focus)
female,23,33.86,active,6.4,4.1,153.8,80.1,Cardio (Weight Loss focus)
male,31,17.21,light,5.0,2.0,175.0,52.7,Cardio (Weight Loss focus)
male,56,27.9,sedentary,4.0,3.0,189.5,100.2,Cardio (Weight Loss focus)
female,23,19.4,sedentary,4.3,3.0,161.8,50.8,Cardio (Weight Loss focus)
male,42,29.55,light,4.3,3.1,168.3,83.7,Cardio (Weight Loss focus)
female,25,21.62,active,5.0,1.6,165.6,59.3,Cardio (Weight Loss focus)
female,30,33.74,active,5.5,2.5,170.7,98.3,Cardio (Weight Loss focus)
male,18,31.65,sedentary,6.6,2.5,174.8,96.7,Cardio (Weight Loss focus)
male,18,33.74,light,7.2,2.9,187.8,119.0,Cardio (Weight Loss focus)
male,26,30.22,light,7.3,1.9,177.4,95.1,Cardio (Weight Loss focus)
male,55,23.72,sedentary,4.5,2.1,170.3,68.8,Cardio (Weight Loss focus)
male,42,29.55,light,4.3,3.1,168.3,83.7,Cardio (Weight Loss focus)
female,28,20.53,moderate,5.4,2.2,158.4,51.5,Cardio (Weight Loss focus)
female,25,33.42,light,7.3,2.1,166.9,93.1,Cardio (Weight Loss focus)
female,46,22.48,light,4.5,3.5,173.8,67.9,Cardio (Weight Loss focus)
male,52,30.59,sedentary,6.1,3.0,174.0,92.6,Cardio (Weight Loss focus)
male,52,19.5,moderate,5.0,4.4,169.6,56.1,Cardio (Weight Loss focus)
male,42,22.85,sedentary,5.4,3.0,183.8,77.2,Cardio (Weight Loss focus)
male,28,25.99,active,5.3,3.4,172.8,77.6,Cardio (Weight Loss focus)
female,39,28.1,moderate,5.1,3.8,168.0,79.3,Cardio (Weight Loss focus)
female,35,24.08,moderate,4.6,2.6,166.8,67.0,Cardio (Weight Loss focus)
male,44,27.82,sedentary,4.8,3.8,175.1,85.3,Cardio (Weight Loss focus)
female,47,30.67,light,4.9,1.7,171.2,89.9,Cardio (Weight Loss focus)
male,53,31.76,light,5.0,2.7,188.8,113.2,Cardio (Weight Loss focus)
female,44,30.7,moderate,8.0,1.5,159.9,78.5,Cardio (Weight Loss focus)
male,18,30.9,sedentary,9.5,3.2,174.6,94.2,Cardio (Weight Loss focus)
female,31,36.38,moderate,4.1,3.4,167.2,101.7,Cardio (Weight Loss focus)
male,52,19.5,moderate,5.0,4.4,169.6,56.1,Cardio (Weight Loss focus)
female,38,24.7,light,5.3,1.7,158.3,61.9,Cardio (Weight Loss focus)
female,37,27.97,light,5.0,2.1,167.0,78.0,Cardio (Weight Loss focus)
female,18,22.12,light,5.3,2.3,170.5,64.3,Cardio (Weight Loss focus)
male,42,31.9,light,6.5,3.5,167.5,89.5,Cardio (Weight Loss focus)
female,27,31.77,light,6.7,2.7,156.7,78.0,Cardio (Weight Loss focus)
male,31,17.21,light,5.0,2.0,175.0,52.7,Cardio (Weight Loss focus)
male,18,30.87,active,6.5,3.3,175.9,95.5,Cardio (Weight Loss focus)
male,18,23.37,moderate,5.2,4.4,177.1,73.3,Cardio (Weight Loss focus)
male,50,31.69,moderate,6.5,3.4,158.2,79.3,Cardio (Weight Loss focus)
male,37,36.12,active,6.9,3.9,190.6,131.2,Cardio (Weight Loss focus)
female,31,31.17,active,7.4,3.0,161.6,81.4,Cardio (Weight Loss focus)
male,27,31.98,light,7.5,2.7,187.8,112.8,Cardio (Weight Loss focus)
male,40,32.0,active,8.1,2.9,183.3,107.5,Cardio (Weight Loss focus)
male,37,36.12,active,6.9,3.9,190.6,131.2,Cardio (Weight Loss focus)
male,18,33.4,active,7.7,3.5,169.7,96.2,Cardio (Weight Loss focus)
female,34,30.23,light,8.1,2.2,164.7,82.0,Cardio (Weight Loss focus)
male,34,32.53,light,8.9,2.6,164.3,87.8,Cardio (Weight Loss focus)
male,29,39.71,light,7.9,3.9,178.9,127.1,Cardio (Weight Loss focus)
male,51,30.4,active,8.6,4.3,177.6,95.9,Cardio (Weight Loss focus)
female,45,33.64,sedentary,7.5,2.3,151.1,76.8,Cardio (Weight Loss focus)
male,36,30.92,sedentary,5.2,3.7,183.3,103.9,Cardio (Weight Loss focus)
female,37,23.64,moderate,5.4,3.9,153.1,55.4,Cardio (Weight Loss focus)
female,36,21.83,active,4.5,3.4,151.5,50.1,Cardio (Weight Loss focus)
female,34,31.99,moderate,8.9,2.7,163.0,85.0,Cardio (Weight Loss focus)
female,51,15.58,moderate,5.2,3.2,169.4,44.7,Cardio (Weight Loss focus)
female,26,31.75,active,9.3,3.2,150.6,72.0,Cardio (Weight Loss focus)
female,31,31.17,active,7.4,3.0,161.6,81.4,Cardio (Weight Loss focus)
female,37,27.97,light,5.0,2.1,167.0,78.0,Cardio (Weight Loss focus)
male,27,31.98,light,7.5,2.7,187.8,112.8,Cardio (Weight Loss focus)
male,34,31.39,light,5.9,3.1,177.5,98.9,Cardio (Weight Loss focus)
male,18,30.28,light,7.0,2.1,160.2,77.7,Cardio (Weight Loss focus)
female,23,19.4,sedentary,4.3,3.0,161.8,50.8,Cardio (Weight Loss focus)
male,21,20.73,sedentary,5.3,3.6,171.7,61.1,Cardio (Weight Loss focus)
female,47,25.89,active,5.2,2.8,164.2,69.8,Cardio (Weight Loss focus)
male,39,18.1,moderate,5.0,3.3,170.0,52.3,Cardio (Weight Loss focus)
male,43,34.92,sedentary,6.7,2.5,191.3,127.8,Cardio (Weight Loss focus)
male,52,30.59,sedentary,6.1,3.0,174.0,92.6,Cardio (Weight Loss focus)
female,56,19.78,light,4.5,2.4,160.1,50.7,Cardio (Weight Loss focus)
male,36,24.87,light,5.0,3.7,168.0,70.2,Cardio (Weight Loss focus)
female,51,15.58,moderate,5.2,3.2,169.4,44.7,Cardio (Weight Loss focus)
male,40,32.0,active,8.1,2.9,183.3,107.5,Cardio (Weight Loss focus)
male,21,20.73,sedentary,5.3,3.6,171.7,61.1,Cardio (Weight Loss focus)
male,33,26.41,moderate,4.9,3.2,181.9,87.4,Cardio (Weight Loss focus)
female,36,32.22,moderate,7.5,2.3,167.4,90.3,Cardio (Weight Loss focus)
male,18,25.67,light,4.3,4.1,168.4,72.8,Cardio (Weight Loss focus)
female,30,33.74,active,5.5,2.5,170.7,98.3,Cardio (Weight Loss focus)
female,26,22.23,sedentary,5.4,1.7,155.7,53.9,Cardio (Weight Loss focus)
male,18,33.75,light,7.4,3.1,174.1,102.3,Cardio (Weight Loss focus)
female,24,34.42,moderate,5.7,2.2,159.9,88.0,Cardio (Weight Loss focus)
female,33,22.42,moderate,4.9,2.3,162.9,59.5,Cardio (Weight Loss focus)
male,56,27.9,sedentary,4.0,3.0,189.5,100.2,Cardio (Weight Loss focus)
male,24,22.78,active,4.3,4.2,173.3,68.4,Cardio (Weight Loss focus)
female,40,30.96,active,9.2,3.2,149.5,69.2,Cardio (Weight Loss focus)
female,47,25.89,active,5.2,2.8,164.2,69.8,Cardio (Weight Loss focus)
male,39,28.87,moderate,4.3,3.6,164.8,78.4,Cardio (Weight Loss focus)
male,34,31.39,light,5.9,3.1,177.5,98.9,Cardio (Weight Loss focus)
female,51,15.58,moderate,5.2,3.2,169.4,44.7,Cardio (Weight Loss focus)
female,18,31.81,light,7.6,2.0,156.3,77.7,Cardio (Weight Loss focus)
male,18,23.37,moderate,5.2,4.4,177.1,73.3,Cardio (Weight Loss focus)
female,45,33.64,sedentary,7.5,2.3,151.1,76.8,Cardio (Weight Loss focus)
male,18,32.37,moderate,7.6,3.2,178.9,103.6,Cardio (Weight Loss focus)
male,21,30.26,light,5.9,2.9,195.7,115.9,Cardio (Weight Loss focus)
male,35,20.68,moderate,4.5,3.1,168.9,59.0,Cardio (Weight Loss focus)
male,33,26.41,moderate,4.9,3.2,181.9,87.4,Cardio (Weight Loss focus)
male,18,34.48,active,8.6,3.7,163.8,92.5,Cardio (Weight Loss focus)
male,18,33.75,light,7.4,3.1,174.1,102.3,Cardio (Weight Loss focus)
female,30,30.62,active,7.9,3.6,145.8,65.1,Cardio (Weight Loss focus)
male,42,24.49,moderate,5.2,3.3,170.4,71.1,Cardio (Weight Loss focus)
female,41,22.94,moderate,5.1,3.4,173.7,69.2,Cardio (Weight Loss focus)
male,21,20.73,sedentary,5.3,3.6,171.7,61.1,Cardio (Weight Loss focus)
male,23,30.67,moderate,6.5,3.2,162.9,81.4,Cardio (Weight Loss focus)
male,49,31.64,light,6.6,4.0,174.2,96.0,Cardio (Weight Loss focus)
male,29,39.71,light,7.9,3.9,178.9,127.1,Cardio (Weight Loss focus)
female,29,31.44,light,7.4,3.2,161.0,81.5,Cardio (Weight Loss focus)
female,28,33.02,active,8.3,3.1,165.1,90.0,Cardio (Weight Loss focus)
male,35,31.45,moderate,7.9,2.4,184.8,107.4,Cardio (Weight Loss focus)
female,42,21.1,moderate,5.3,3.4,156.7,51.8,Cardio (Weight Loss focus)
female,18,26.29,active,5.1,3.4,148.4,57.9,Cardio (Weight Loss focus)
male,51,18.15,moderate,5.1,2.7,177.2,57.0,Cardio (Weight Loss focus)
male,27,30.13,active,8.9,3.1,158.6,75.8,Cardio (Weight Loss focus)
male,19,31.08,moderate,8.9,3.8,181.6,102.5,Cardio (Weight Loss focus)
female,37,26.69,sedentary,4.0,1.1,165.5,73.1,Cardio (Weight Loss focus)
female,29,31.76,light,10.0,2.9,174.3,96.5,Cardio (Weight Loss focus)
female,40,31.59,moderate,6.6,2.1,168.8,90.0,Cardio (Weight Loss focus)
male,39,31.08,light,6.6,3.5,180.8,101.6,Cardio (Weight Loss focus)
female,41,22.94,moderate,5.1,3.4,173.7,69.2,Cardio (Weight Loss focus)
male,47,20.82,sedentary,5.3,3.1,174.9,63.7,Cardio (Weight Loss focus)
female,18,22.12,light,5.3,2.3,170.5,64.3,Cardio (Weight Loss focus)
male,51,30.69,sedentary,7.1,2.5,181.5,101.1,Cardio (Weight Loss focus)
male,42,30.85,moderate,6.3,3.3,170.7,89.9,Cardio (Weight Loss focus)
male,21,20.73,sedentary,5.3,3.6,171.7,61.1,Cardio (Weight Loss focus)
male,40,32.0,active,8.1,2.9,183.3,107.5,Cardio (Weight Loss focus)
male,18,31.17,moderate,7.8,2.8,176.6,97.2,Cardio (Weight Loss focus)
male,43,30.88,sedentary,10.0,2.3,157.6,76.7,Cardio (Weight Loss focus)
female,31,33.21,light,7.7,2.6,172.3,98.6,Cardio (Weight Loss focus)
male,30,24.23,light,4.8,3.2,170.1,70.1,Cardio (Weight Loss focus)
female,56,30.97,moderate,6.8,1.7,159.6,78.9,Cardio (Weight Loss focus)
female,25,33.42,light,7.3,2.1,166.9,93.1,Cardio (Weight Loss focus)
female,25,21.62,active,5.0,1.6,165.6,59.3,Cardio (Weight Loss focus)
female,18,26.29,active,5.1,3.4,148.4,57.9,Cardio (Weight Loss focus)
female,38,32.27,active,7.0,3.9,159.5,82.1,Cardio (Weight Loss focus)
male,32,30.63,light,7.7,3.7,165.2,83.6,Cardio (Weight Loss focus)
female,51,15.58,moderate,5.2,3.2,169.4,44.7,Cardio (Weight Loss focus)
male,36,24.87,light,5.0,3.7,168.0,70.2,Cardio (Weight Loss focus)
male,43,34.92,sedentary,6.7,2.5,191.3,127.8,Cardio (Weight Loss focus)
female,44,30.7,moderate,8.0,1.5,159.9,78.5,Cardio (Weight Loss focus)
male,18,23.37,moderate,5.2,4.4,177.1,73.3,Cardio (Weight Loss focus)
female,35,32.05,light,6.8,2.7,156.8,78.8,Cardio (Weight Loss focus)
female,37,33.18,moderate,7.1,2.2,159.4,84.3,Cardio (Weight Loss focus)
male,30,26.13,light,5.4,4.1,171.9,77.2,Cardio (Weight Loss focus)
female,51,15.58,moderate,5.2,3.2,169.4,44.7,Cardio (Weight Loss focus)
male,45,23.29,sedentary,4.2,3.7,173.5,70.1,Cardio (Weight Loss focus)
female,24,34.42,moderate,5.7,2.2,159.9,88.0,Cardio (Weight Loss focus)
male,26,17.12,sedentary,5.4,2.4,176.6,53.4,Cardio (Weight Loss focus)
female,55,30.48,moderate,6.0,2.6,170.1,88.2,Cardio (Weight Loss focus)
male,18,33.75,light,7.4,3.1,174.1,102.3,Cardio (Weight Loss focus)
female,20,32.01,moderate,7.4,2.9,158.1,80.0,Cardio (Weight Loss focus)
female,46,26.52,moderate,5.3,2.4,155.6,64.2,Cardio (Weight Loss focus)
male,29,39.71,light,7.9,3.9,178.9,127.1,Cardio (Weight Loss focus)
female,43,33.71,light,7.0,2.6,173.0,100.9,Cardio (Weight Loss focus)
female,37,31.41,active,7.1,3.0,145.4,66.4,Cardio (Weight Loss focus)
male,32,25.08,moderate,4.5,2.7,175.0,76.8,Cardio (Weight Loss focus)
female,30,33.74,active,5.5,2.5,170.7,98.3,Cardio (Weight Loss focus)
female,47,37.22,light,6.3,2.7,170.9,108.7,Cardio (Weight Loss focus)
female,46,26.52,moderate,5.3,2.4,155.6,64.2,Cardio (Weight Loss focus)
male,28,29.93,moderate,5.0,3.0,183.6,100.9,Cardio (Weight Loss focus)
female,44,30.7,moderate,8.0,1.5,159.9,78.5,Cardio (Weight Loss focus)
male,56,24.17,moderate,5.2,2.9,185.3,83.0,Cardio (Weight Loss focus)
female,37,21.75,moderate,5.1,1.3,158.3,54.5,Cardio (Weight Loss focus)
male,31,31.59,sedentary,8.0,2.5,178.1,100.2,Cardio (Weight Loss focus)
female,36,21.83,active,4.5,3.4,151.5,50.1,Cardio (Weight Loss focus)
male,18,30.54,sedentary,7.2,3.8,180.6,99.6,Cardio (Weight Loss focus)
male,31,30.11,moderate,5.7,3.1,176.6,93.9,Cardio (Weight Loss focus)
female,33,31.71,moderate,6.9,2.2,170.7,92.4,Cardio (Weight Loss focus)
male,24,22.78,active,4.3,4.2,173.3,68.4,Cardio (Weight Loss focus)
male,22,29.23,moderate,5.0,2.3,184.3,99.3,Cardio (Weight Loss focus)
male,23,32.07,light,7.0,2.4,188.3,113.7,Cardio (Weight Loss focus)
female,28,33.02,active,8.3,3.1,165.1,90.0,Cardio (Weight Loss focus)
male,51,30.4,active,8.6,4.3,177.6,95.9,Cardio (Weight Loss focus)
male,52,24.37,moderate,4.9,3.5,177.3,76.6,Cardio (Weight Loss focus)
male,42,22.85,sedentary,5.4,3.0,183.8,77.2,Cardio (Weight Loss focus)
male,45,28.99,light,5.4,3.6,168.3,82.1,Cardio (Weight Loss focus)
female,54,30.05,light,6.5,2.8,166.3,83.1,Cardio (Weight Loss focus)
female,32,31.21,active,6.9,2.9,162.1,82.0,Cardio (Weight Loss focus)
female,22,31.21,moderate,9.3,3.5,159.7,79.6,Cardio (Weight Loss focus)
female,36,17.58,sedentary,5.3,2.7,172.8,52.5,Cardio (Weight Loss focus)
female,18,33.28,moderate,8.0,2.6,162.9,88.3,Cardio (Weight Loss focus)
female,44,30.76,active,6.5,2.8,155.2,74.1,Cardio (Weight Loss focus)
male,31,30.2,light,6.3,3.2,178.2,95.9,Cardio (Weight Loss focus)
male,47,30.69,sedentary,5.3,2.3,172.1,90.9,Cardio (Weight Loss focus)
female,53,24.6,sedentary,5.4,1.4,170.5,71.5,Cardio (Weight Loss focus)
female,37,26.69,sedentary,4.0,1.1,165.5,73.1,Cardio (Weight Loss focus)
female,28,20.45,moderate,4.8,2.7,160.7,52.8,Cardio (Weight Loss focus)
female,53,36.64,light,5.4,1.9,170.5,106.5,Cardio (Weight Loss focus)
female,21,19.2,light,4.2,1.6,169.1,54.9,Cardio (Weight Loss focus)
male,29,19.16,moderate,5.4,2.9,183.9,64.8,Cardio (Weight Loss focus)
male,19,30.79,moderate,8.8,4.0,161.4,80.2,Cardio (Weight Loss focus)
female,37,21.75,moderate,5.1,1.3,158.3,54.5,Cardio (Weight Loss focus)
female,34,32.34,moderate,6.7,2.5,160.3,83.1,Cardio (Weight Loss focus)
male,31,31.59,sedentary,8.0,2.5,178.1,100.2,Cardio (Weight Loss focus)
male,19,31.08,moderate,8.9,3.8,181.6,102.5,Cardio (Weight Loss focus)
female,18,31.81,light,7.6,2.0,156.3,77.7,Cardio (Weight Loss focus)
male,36,25.27,sedentary,4.4,3.5,176.7,78.9,Cardio (Weight Loss focus)
male,18,30.4,light,6.8,2.0,189.8,109.5,Cardio (Weight Loss focus)
male,46,31.04,light,6.6,2.9,170.1,89.8,Cardio (Weight Loss focus)
male,39,24.46,sedentary,4.8,3.4,182.1,81.1,Cardio (Weight Loss focus)
female,46,34.38,light,7.4,4.4,147.5,74.8,Cardio (Weight Loss focus)
male,18,33.15,moderate,9.2,3.0,172.8,99.0,Cardio (Weight Loss focus)
female,47,37.22,light,6.3,2.7,170.9,108.7,Cardio (Weight Loss focus)
male,31,31.59,sedentary,8.0,2.5,178.1,100.2,Cardio (Weight Loss focus)
female,46,36.94,light,8.0,1.3,157.9,92.1,Cardio (Weight Loss focus)
female,43,32.13,sedentary,5.8,1.0,166.9,89.5,Cardio (Weight Loss focus)
male,52,24.37,moderate,4.9,3.5,177.3,76.6,Cardio (Weight Loss focus)
male,18,30.87,active,6.5,3.3,175.9,95.5,Cardio (Weight Loss focus)
male,53,31.45,moderate,6.2,4.6,175.8,97.2,Cardio (Weight Loss focus)
female,30,33.74,active,5.5,2.5,170.7,98.3,Cardio (Weight Loss focus)
female,28,24.43,moderate,5.4,1.4,163.5,65.3,Cardio (Weight Loss focus)
female,37,26.69,sedentary,4.0,1.1,165.5,73.1,Cardio (Weight Loss focus)
female,28,20.53,moderate,5.4,2.2,158.4,51.5,Cardio (Weight Loss focus)
male,18,30.28,light,7.0,2.1,160.2,77.7,Cardio (Weight Loss focus)
female,43,22.04,light,4.9,2.2,155.8,53.5,Cardio (Weight Loss focus)
male,37,21.21,sedentary,5.2,3.2,164.8,57.6,Cardio (Weight Loss focus)
male,22,32.0,sedentary,7.2,1.7,174.2,97.1,Cardio (Weight Loss focus)
male,40,20.93,sedentary,4.1,3.5,171.4,61.5,Cardio (Weight Loss focus)
female,46,25.35,active,5.3,3.8,176.3,78.8,Cardio (Weight Loss focus)
female,37,25.45,moderate,5.0,2.6,153.8,60.2,Cardio (Weight Loss focus)
female,18,31.87,light,7.4,1.8,180.9,104.3,Cardio (Weight Loss focus)
female,54,30.05,light,6.5,2.8,166.3,83.1,Cardio (Weight Loss focus)
female,18,25.4,sedentary,4.7,2.7,170.7,74.0,Cardio (Weight Loss focus)
male,34,32.53,light,8.9,2.6,164.3,87.8,Cardio (Weight Loss focus)
female,37,27.97,light,5.0,2.1,167.0,78.0,Cardio (Weight Loss focus)
female,51,31.2,moderate,5.9,3.2,170.3,90.5,Cardio (Weight Loss focus)
female,27,31.77,light,6.7,2.7,156.7,78.0,Cardio (Weight Loss focus)
male,19,37.96,moderate,9.4,2.4,181.4,124.9,Cardio (Weight Loss focus)
female,18,26.29,active,5.1,3.4,148.4,57.9,Cardio (Weight Loss focus)
male,40,32.0,active,8.1,2.9,183.3,107.5,Cardio (Weight Loss focus)
male,37,32.62,light,5.8,3.1,184.8,111.4,Cardio (Weight Loss focus)
female,26,22.23,sedentary,5.4,1.7,155.7,53.9,Cardio (Weight Loss focus)
female,18,30.75,active,6.2,2.2,161.7,80.4,Cardio (Weight Loss focus)
male,31,33.67,light,8.3,3.7,174.9,103.0,Cardio (Weight Loss focus)
female,21,19.2,light,4.2,1.6,169.1,54.9,Cardio (Weight Loss focus)
female,47,37.22,light,6.3,2.7,170.9,108.7,Cardio (Weight Loss focus)
male,27,31.98,light,7.5,2.7,187.8,112.8,Cardio (Weight Loss focus)
male,26,30.95,moderate,7.0,2.9,156.4,75.7,Cardio (Weight Loss focus)
female,29,30.07,light,7.3,2.5,154.3,71.6,Cardio (Weight Loss focus)
female,18,23.1,active,5.0,3.7,167.1,64.5,Cardio (Weight Loss focus)
female,21,29.98,moderate,4.8,2.4,166.7,83.3,Cardio (Weight Loss focus)
male,18,30.54,sedentary,7.2,3.8,180.6,99.6,Cardio (Weight Loss focus)
male,36,30.92,sedentary,5.2,3.7,183.3,103.9,Cardio (Weight Loss focus)
female,47,37.22,light,6.3,2.7,170.9,108.7,Cardio (Weight Loss focus)
female,24,34.35,moderate,8.1,2.8,164.8,93.3,Cardio (Weight Loss focus)
male,42,30.4,moderate,5.4,3.0,180.1,98.6,Cardio (Weight Loss focus)
female,28,30.21,moderate,6.9,3.3,169.2,86.5,Cardio (Weight Loss focus)
male,47,30.8,light,5.1,3.7,173.5,92.7,Cardio (Weight Loss focus)
male,26,30.51,light,7.3,3.0,172.6,90.9,Cardio (Weight Loss focus)
male,55,23.72,sedentary,4.5,2.1,170.3,68.8,Cardio (Weight Loss focus)
female,20,22.71,light,5.4,2.2,153.9,53.8,Cardio (Weight Loss focus)
male,24,25.47,sedentary,4.0,2.2,167.2,71.2,Cardio (Weight Loss focus)
female,38,28.01,moderate,5.0,3.5,155.8,68.0,Cardio (Weight Loss focus)
female,25,32.93,active,7.0,3.9,154.2,78.3,Cardio (Weight Loss focus)
male,38,19.32,moderate,5.2,2.8,183.3,64.9,Cardio (Weight Loss focus)
male,18,32.89,active,6.2,2.8,183.2,110.4,Cardio (Weight Loss focus)
female,31,33.21,light,7.7,2.6,172.3,98.6,Cardio (Weight Loss focus)
female,37,35.4,active,6.2,3.5,150.9,80.6,Cardio (Weight Loss focus)
male,37,30.28,active,9.0,4.2,188.6,107.7,Cardio (Weight Loss focus)
male,18,23.37,moderate,5.2,4.4,177.1,73.3,Cardio (Weight Loss focus)
male,42,22.85,sedentary,5.4,3.0,183.8,77.2,Cardio (Weight Loss focus)
female,39,31.69,active,5.9,2.1,168.8,90.3,Cardio (Weight Loss focus)
female,18,20.34,sedentary,4.2,1.6,162.5,53.7,Cardio (Weight Loss focus)
female,37,27.97,light,5.0,2.1,167.0,78.0,Cardio (Weight Loss focus)
male,39,34.03,active,8.0,3.8,170.9,99.4,Cardio (Weight Loss focus)
female,20,30.05,active,7.1,3.9,172.3,89.2,Cardio (Weight Loss focus)
female,40,24.8,light,5.3,2.2,148.5,54.7,Cardio (Weight Loss focus)
female,25,21.62,active,5.0,1.6,165.6,59.3,Cardio (Weight Loss focus)
female,37,35.4,active,6.2,3.5,150.9,80.6,Cardio (Weight Loss focus)
female,18,31.87,light,7.4,1.8,180.9,104.3,Cardio (Weight Loss focus)
male,46,29.62,active,5.2,4.7,158.9,74.8,Cardio (Weight Loss focus)
female,42,21.1,moderate,5.3,3.4,156.7,51.8,Cardio (Weight Loss focus)
male,20,32.0,active,7.0,3.6,171.2,93.8,Cardio (Weight Loss focus)
female,46,22.48,light,4.5,3.5,173.8,67.9,Cardio (Weight Loss focus)
male,27,30.95,moderate,7.1,4.4,177.3,97.3,Cardio (Weight Loss focus)
male,51,30.4,active,8.6,4.3,177.6,95.9,Cardio (Weight Loss focus)
male,39,28.18,light,5.3,3.3,185.9,97.4,Cardio (Weight Loss focus)
male,42,24.49,moderate,5.2,3.3,170.4,71.1,Cardio (Weight Loss focus)
female,47,25.89,active,5.2,2.8,164.2,69.8,Cardio (Weight Loss focus)
female,37,31.33,moderate,7.7,2.1,159.2,79.4,Cardio (Weight Loss focus)
male,40,20.9,moderate,5.4,3.1,166.6,58.0,Cardio (Weight Loss focus)
female,42,31.23,moderate,6.1,2.5,164.3,84.3,Cardio (Weight Loss focus)
male,26,32.79,moderate,8.5,3.8,173.4,98.6,Cardio (Weight Loss focus)
female,26,25.89,sedentary,4.8,3.0,164.9,70.4,Cardio (Weight Loss focus)
male,23,32.07,light,7.0,2.4,188.3,113.7,Cardio (Weight Loss focus)
male,18,30.9,sedentary,9.5,3.2,174.6,94.2,Cardio (Weight Loss focus)
male,39,28.18,light,5.3,3.3,185.9,97.4,Cardio (Weight Loss focus)
male,47,30.8,light,5.1,3.7,173.5,92.7,Cardio (Weight Loss focus)
female,43,32.13,sedentary,5.8,1.0,166.9,89.5,Cardio (Weight Loss focus)
male,32,25.08,moderate,4.5,2.7,175.0,76.8,Cardio (Weight Loss focus)
male,26,32.79,moderate,8.5,3.8,173.4,98.6,Cardio (Weight Loss focus)
male,40,32.0,active,8.1,2.9,183.3,107.5,Cardio (Weight Loss focus)
male,26,30.51,light,7.3,3.0,172.6,90.9,Cardio (Weight Loss focus)
male,30,21.43,sedentary,5.4,3.2,173.2,64.3,Cardio (Weight Loss focus)
male,18,30.9,sedentary,9.5,3.2,174.6,94.2,Cardio (Weight Loss focus)
male,18,31.17,moderate,7.8,2.8,176.6,97.2,Cardio (Weight Loss focus)
male,27,32.83,active,10.0,3.9,178.4,104.5,Cardio (Weight Loss focus)
female,44,30.7,moderate,8.0,1.5,159.9,78.5,Cardio (Weight Loss focus)
male,18,23.58,active,9.6,4.4,173.4,70.9,HIIT / High Intensity
male,42,19.43,active,7.3,3.7,173.2,58.3,HIIT / High Intensity
female,39,20.87,active,7.5,4.0,164.4,56.4,HIIT / High Intensity
female,18,22.46,active,7.8,3.4,153.6,53.0,HIIT / High Intensity
female,31,18.71,active,7.4,2.9,156.8,46.0,HIIT / High Intensity
female,18,23.85,active,8.2,2.6,169.6,68.6,HIIT / High Intensity
male,28,24.42,active,7.7,3.3,175.7,75.4,HIIT / High Intensity
female,29,21.39,active,8.6,3.1,166.5,59.3,HIIT / High Intensity
male,18,23.58,active,9.6,4.4,173.4,70.9,HIIT / High Intensity
female,43,23.61,active,7.2,3.4,157.4,58.5,HIIT / High Intensity
female,33,20.01,active,7.1,3.3,161.2,52.0,HIIT / High Intensity
male,37,23.58,active,8.2,2.8,183.4,79.3,HIIT / High Intensity
male,37,23.58,active,8.2,2.8,183.4,79.3,HIIT / High Intensity
female,37,22.45,active,9.2,3.1,151.6,51.6,HIIT / High Intensity
female,30,21.63,active,8.7,2.5,155.5,52.3,HIIT / High Intensity
female,38,20.33,active,8.6,1.9,154.6,48.6,HIIT / High Intensity
